CASA DORADA BASE PRODUCTS REPORT
Code; Name;Product type;Ingredients;State
32;Lexus;Bebida;;Lomo de Cerdo Ahumado,Lomo Biche,Camaron;ACTIVE
33;Adiana;Plato Secundario;;Lomo de Cerdo Ahumado,Cerdo,Camaron;ACTIVE
34;Ferrari;Plato Secundario;;Ostras,Chuleta,Chorizo;ACTIVE
35;Buick;Bebida;;Verduras,Ostras,Jamon;ACTIVE
36;Jeep;Caldo;;Camaron,Maduro,Cabano;ACTIVE
37;Brit;Bebida;;Verduras,Chorizo,Jamon;ACTIVE
38;Acura;Postre;;Batavia,Batavia,Papas a la Francesa;ACTIVE
39;Volkswagen;Caldo;;Pollo,Chuleta,Lomo de Cerdo Ahumado;ACTIVE
40;Marylou;Plato Principal;;Chicharron,Batavia,Cabano;ACTIVE
41;Mendie;Bebida;;Jamon,Cerdo,Maduro;ACTIVE
42;Shanan;Postre;;Cerdo,Cabano,Ostras;ACTIVE
43;Lari;Sopa;;Costilla,Ostras,Papas;ACTIVE
44;Justine;Plato Principal;;Pulpo,Chicharron,Cerdo;ACTIVE
45;Mercedes-Benz;Caldo;;Costilla,Pollo,Papas;ACTIVE
46;Paige;Postre;;Camaron,Pollo,Cerdo;ACTIVE
47;Maserati;Caldo;;Verduras,Chorizo,Chicharron;ACTIVE
48;Caterina;Plato Secundario;;Cerdo,Chicharron,Jamon;ACTIVE
49;Volvo;Bandeja;;Papas a la Francesa,Chuleta,Jamon;ACTIVE
50;Barbabas;Bebida;;Pollo,Camaron,Pulpo;ACTIVE
51;Jaguar;Plato Secundario;;Verduras,Jamon,Papas a la Francesa;ACTIVE
52;Chas;Postre;;Maduro,Ostras,Costilla de cerdo;ACTIVE
53;Reid;Sopa;;Lomo Biche,Costilla de cerdo,Chuleta;ACTIVE
54;Gretel;Plato Principal;;Lomo Biche,Papas,Lomo Biche;ACTIVE
55;Hyundai;Bebida;;Chorizo,Maduro,Pulpo;ACTIVE
56;Marcile;Sopa;;Jamon,Costilla,Cerdo;ACTIVE
57;Zollie;Plato Secundario;;Costilla de cerdo,Costilla de cerdo,Batavia;ACTIVE
58;Lamborghini;Bandeja;;Ostras,Maduro,Pulpo;ACTIVE
59;Subaru;Bandeja;;Cebolla,Chuleta,Jamon;ACTIVE
60;Phelia;Bandeja;;Jamon,Batavia,Pulpo;ACTIVE
61;Cadillac;Bebida;;Camaron,Chicharron,Cabano;ACTIVE
62;Emera;Bebida;;Cerdo,Chicharron,Pollo;ACTIVE
63;Reeva;Sopa;;Jamon,Lomo Biche,Lomo de Cerdo Ahumado;ACTIVE
64;Ara;Plato Secundario;;Ostras,Lomo de Cerdo Ahumado,Costilla de cerdo;ACTIVE
65;Charity;Caldo;;Cerdo,Cabano,Batavia;ACTIVE
66;Honda;Postre;;Costilla,Maduro,Cabano;ACTIVE
67;Kia;Caldo;;Ostras,Jamon,Batavia;ACTIVE
68;Hanson;Sopa;;Costilla de cerdo,Chorizo,Chuleta;ACTIVE
69;Lizzie;Postre;;Chuleta,Papas a la Francesa,Pollo;ACTIVE
70;Hummer;Caldo;;Cerdo,Batavia,Pollo;ACTIVE
71;Papas a la francesa;Bebida;;Cerdo,Pulpo,Chuleta;ACTIVE
72;Herve;Caldo;;Maduro,Batavia,Cabano;ACTIVE
73;Barthel;Bebida;;Cerdo,Chorizo,Pollo;ACTIVE
74;Mazda;Plato Secundario;;Pollo,Chuleta,Lomo Biche;ACTIVE
75;Terrell;Sopa;;Batavia,Batavia,Jamon;ACTIVE
76;Franzen;Caldo;;Batavia,Chicharron,Batavia;ACTIVE
77;Raphaela;Sopa;;Cebolla,Costilla de cerdo,Cerdo;ACTIVE
78;Hubey;Plato Principal;;Papas,Costilla,Ostras;ACTIVE
79;Krista;Bebida;;Lomo Biche,Camaron,Chorizo;ACTIVE
80;Chloe;Plato Secundario;;Ostras,Cerdo,Verduras;ACTIVE
81;Robbin;Plato Secundario;;Ostras,Pollo,Costilla de cerdo;ACTIVE
82;Phoebe;Postre;;Pulpo,Jamon,Lomo Biche;ACTIVE
83;Isuzu;Plato Principal;;Chuleta,Camaron,Papas a la Francesa;ACTIVE
84;Garrett;Plato Secundario;;Maduro,Cabano,Jamon;ACTIVE
85;Pippa;Postre;;Cerdo,Ostras,Costilla;ACTIVE
86;Devonne;Bebida;;Pulpo,Jamon,Chorizo;ACTIVE
87;Philippine;Plato Secundario;;Pollo,Cabano,Batavia;ACTIVE
88;Mohandis;Caldo;;Lomo Biche,Costilla de cerdo,Ostras;ACTIVE
89;Smith;Plato Secundario;;Ostras,Lomo de Cerdo Ahumado,Ostras;ACTIVE
90;Clemmy;Plato Secundario;;Chicharron,Maduro,Verduras;ACTIVE
91;Saturn;Postre;;Lomo Biche,Batavia,Chorizo;ACTIVE
92;Brynn;Caldo;;Costilla de cerdo,Jamon,Cerdo;ACTIVE
93;Sven;Bandeja;;Lomo de Cerdo Ahumado,Costilla,Pulpo;ACTIVE
94;Sam;Caldo;;Ostras,Pollo,Lomo de Cerdo Ahumado;ACTIVE
95;Ferne;Bebida;;Chorizo,Maduro,Chuleta;ACTIVE
96;Natka;Bandeja;;Batavia,Lomo Biche,Cerdo;ACTIVE
97;Rosmunda;Bandeja;;Cabano,Lomo de Cerdo Ahumado,Chorizo;ACTIVE
98;Leela;Sopa;;Cabano,Ostras,Pulpo;ACTIVE
99;Butch;Plato Secundario;;Camaron,Batavia,Lomo Biche;ACTIVE
100;Hazlett;Plato Secundario;;Pulpo,Papas a la Francesa,Papas a la Francesa;ACTIVE
101;Rozamond;Postre;;Chuleta,Chicharron,Pollo;ACTIVE
102;Rahal;Postre;;Papas,Pollo,Pollo;ACTIVE
103;Suzuki;Plato Secundario;;Pollo,Chorizo,Verduras;ACTIVE
104;Massimiliano;Plato Secundario;;Lomo Biche,Cabano,Costilla;ACTIVE
105;Lincoln;Plato Principal;;Pollo,Costilla,Lomo de Cerdo Ahumado;ACTIVE
106;Gill;Sopa;;Cabano,Costilla de cerdo,Chorizo;ACTIVE
107;Phil;Plato Secundario;;Cabano,Pulpo,Cerdo;ACTIVE
108;Darell;Bandeja;;Papas,Lomo Biche,Chuleta;ACTIVE
109;Brose;Plato Secundario;;Batavia,Verduras,Maduro;ACTIVE
110;Edita;Bandeja;;Papas,Chuleta,Ostras;ACTIVE
111;Plymouth;Plato Principal;;Ostras,Chorizo,Pulpo;ACTIVE
112;Avril;Plato Secundario;;Jamon,Chuleta,Papas a la Francesa;ACTIVE
113;Estrellita;Bebida;;Costilla,Chicharron,Costilla de cerdo;ACTIVE
114;Rubie;Plato Principal;;Chuleta,Cerdo,Cabano;ACTIVE
115;Tiffy;Postre;;Lomo Biche,Papas,Camaron;ACTIVE
116;Lesley;Bebida;;Chorizo,Pollo,Papas;ACTIVE
117;Candida;Plato Secundario;;Lomo de Cerdo Ahumado,Costilla,Jamon;ACTIVE
118;Birch;Sopa;;Camaron,Papas a la Francesa,Maduro;ACTIVE
119;Donica;Plato Principal;;Cabano,Maduro,Papas;ACTIVE
120;MINI;Bandeja;;Lomo Biche,Chicharron,Chuleta;ACTIVE
121;Uri;Caldo;;Papas a la Francesa,Cebolla,Maduro;ACTIVE
122;Nert;Bebida;;Chicharron,Maduro,Verduras;ACTIVE
123;Phedra;Postre;;Pollo,Cebolla,Lomo de Cerdo Ahumado;ACTIVE
124;Tybi;Sopa;;Chicharron,Costilla,Chorizo;ACTIVE
125;Vernor;Plato Principal;;Chorizo,Costilla de cerdo,Papas a la Francesa;ACTIVE
126;Donny;Bebida;;Maduro,Cabano,Camaron;ACTIVE
127;Brice;Postre;;Chicharron,Chuleta,Lomo de Cerdo Ahumado;ACTIVE
128;Frannie;Postre;;Ostras,Costilla,Chorizo;ACTIVE
129;Harcourt;Postre;;Chorizo,Pulpo,Maduro;ACTIVE
130;Leeanne;Sopa;;Maduro,Chicharron,Cabano;ACTIVE
131;Oldsmobile;Plato Principal;;Pulpo,Maduro,Maduro;ACTIVE
132;Quill;Caldo;;Batavia,Camaron,Pulpo;ACTIVE
133;Hugo;Plato Secundario;;Maduro,Pollo,Lomo de Cerdo Ahumado;ACTIVE
134;Ado;Plato Principal;;Pollo,Costilla,Cabano;ACTIVE
135;Trever;Sopa;;Lomo de Cerdo Ahumado,Papas,Verduras;ACTIVE
136;Lev;Plato Principal;;Cebolla,Maduro,Maduro;ACTIVE
137;Jillayne;Plato Principal;;Papas,Cebolla,Cabano;ACTIVE
138;Tiebold;Plato Principal;;Lomo de Cerdo Ahumado,Ostras,Maduro;ACTIVE
139;Helsa;Sopa;;Ostras,Pollo,Papas;ACTIVE
140;Fletch;Sopa;;Chicharron,Papas,Chuleta;ACTIVE
141;Caro;Sopa;;Batavia,Cabano,Papas;ACTIVE
142;Gayel;Plato Principal;;Cabano,Cerdo,Chicharron;ACTIVE
143;Wiley;Postre;;Chicharron,Pollo,Lomo Biche;ACTIVE
144;Maible;Bandeja;;Cabano,Chuleta,Chorizo;ACTIVE
145;Vivie;Plato Principal;;Cebolla,Cerdo,Lomo Biche;ACTIVE
146;Rodolphe;Postre;;Chorizo,Lomo de Cerdo Ahumado,Lomo Biche;ACTIVE
147;Nikola;Postre;;Papas,Cerdo,Pollo;ACTIVE
148;Thelma;Plato Principal;;Chicharron,Chuleta,Lomo Biche;ACTIVE
149;Adel;Plato Principal;;Batavia,Papas a la Francesa,Costilla de cerdo;ACTIVE
150;Reinwald;Caldo;;Maduro,Camaron,Chuleta;ACTIVE
151;Leticia;Caldo;;Pollo,Costilla,Maduro;ACTIVE
152;Kaila;Bebida;;Lomo Biche,Lomo Biche,Cebolla;ACTIVE
153;Di;Sopa;;Costilla de cerdo,Chicharron,Papas a la Francesa;ACTIVE
154;Koralle;Bebida;;Lomo de Cerdo Ahumado,Jamon,Papas;ACTIVE
155;Carlin;Postre;;Cebolla,Cabano,Papas a la Francesa;ACTIVE
156;Nora;Caldo;;Cerdo,Jamon,Cebolla;ACTIVE
157;Sadie;Bandeja;;Costilla de cerdo,Lomo de Cerdo Ahumado,Lomo Biche;ACTIVE
158;Brigitte;Bandeja;;Maduro,Verduras,Verduras;ACTIVE
159;Taylor;Sopa;;Lomo de Cerdo Ahumado,Pulpo,Lomo Biche;ACTIVE
160;Deloria;Bandeja;;Pollo,Ostras,Cebolla;ACTIVE
161;Jenni;Postre;;Batavia,Lomo Biche,Chorizo;ACTIVE
162;Hasheem;Bandeja;;Maduro,Costilla de cerdo,Batavia;ACTIVE
163;Junia;Bebida;;Camaron,Chicharron,Batavia;ACTIVE
164;Marjy;Sopa;;Jamon,Lomo Biche,Ostras;ACTIVE
165;Louise;Caldo;;Costilla,Cerdo,Pulpo;ACTIVE
166;Saxe;Bandeja;;Camaron,Costilla,Papas a la Francesa;ACTIVE
167;Dody;Bandeja;;Costilla de cerdo,Chicharron,Lomo Biche;ACTIVE
168;Desayuno;Caldo;;Pulpo,Papas,Ostras;ACTIVE
169;Anni;Postre;;Jamon,Costilla,Papas a la Francesa;ACTIVE
170;Adele;Bandeja;;Lomo de Cerdo Ahumado,Lomo Biche,Papas a la Francesa;ACTIVE
171;Noah;Plato Secundario;;Papas,Lomo de Cerdo Ahumado,Jamon;ACTIVE
172;Hamil;Bebida;;Papas,Pulpo,Chicharron;ACTIVE
173;Arabelle;Plato Secundario;;Papas,Jamon,Chuleta;ACTIVE
174;Matthieu;Sopa;;Pollo,Lomo de Cerdo Ahumado,Lomo Biche;ACTIVE
175;Marshal;Plato Secundario;;Chuleta,Cebolla,Costilla;ACTIVE
176;Maybach;Plato Principal;;Chorizo,Papas a la Francesa,Jamon;ACTIVE
177;Staffard;Bandeja;;Papas,Costilla,Pulpo;ACTIVE
178;Odey;Postre;;Papas,Ostras,Cebolla;ACTIVE
179;Olivette;Plato Principal;;Chuleta,Papas a la Francesa,Batavia;ACTIVE
180;Aston Martin;Bandeja;;Cabano,Cerdo,Camaron;ACTIVE
181;Ingaborg;Bebida;;Costilla,Costilla,Pollo;ACTIVE
182;Jasmin;Plato Secundario;;Lomo Biche,Verduras,Pollo;ACTIVE
183;Randa;Bebida;;Cabano,Lomo de Cerdo Ahumado,Papas a la Francesa;ACTIVE
184;Evangelin;Postre;;Jamon,Lomo Biche,Batavia;ACTIVE
185;Anjanette;Plato Principal;;Pulpo,Jamon,Verduras;ACTIVE
186;Alfa Romeo;Sopa;;Verduras,Pollo,Costilla;ACTIVE
187;Paolo;Sopa;;Verduras,Maduro,Costilla de cerdo;ACTIVE
188;Ram;Bandeja;;Papas a la Francesa,Batavia,Verduras;ACTIVE
189;Alexei;Sopa;;Costilla,Cabano,Papas;ACTIVE
190;Biddie;Sopa;;Papas a la Francesa,Cabano,Lomo Biche;ACTIVE
191;Hirsch;Bandeja;;Cerdo,Costilla de cerdo,Costilla;ACTIVE
192;Lavina;Sopa;;Maduro,Cabano,Lomo de Cerdo Ahumado;ACTIVE
193;Dyanne;Plato Principal;;Papas,Jamon,Chicharron;ACTIVE
194;Shanon;Bandeja;;Batavia,Costilla de cerdo,Cabano;ACTIVE
195;Tomlin;Caldo;;Papas a la Francesa,Pollo,Papas;ACTIVE
196;Ira;Plato Secundario;;Maduro,Batavia,Batavia;ACTIVE
197;Shelba;Postre;;Batavia,Pulpo,Pulpo;ACTIVE
198;Rhea;Postre;;Jamon,Chorizo,Camaron;ACTIVE
199;Filmer;Plato Principal;;Costilla de cerdo,Jamon,Maduro;ACTIVE
200;Petr;Sopa;;Lomo Biche,Chorizo,Pulpo;ACTIVE
201;Lotus;Plato Principal;;Cabano,Pulpo,Cabano;ACTIVE
202;Arroz Colombiano;Bebida;;Cabano,Papas,Pollo;ACTIVE
203;Mortie;Bebida;;Papas a la Francesa,Cerdo,Maduro;ACTIVE
204;Ilaire;Plato Principal;;Chorizo,Ostras,Lomo Biche;ACTIVE
205;Alli;Bebida;;Cabano,Batavia,Ostras;ACTIVE
206;Powell;Bebida;;Ostras,Verduras,Chorizo;ACTIVE
207;Malinde;Bebida;;Lomo Biche,Camaron,Verduras;ACTIVE
208;Sabina;Sopa;;Pulpo,Pulpo,Maduro;ACTIVE
209;Amandie;Caldo;;Chorizo,Chuleta,Pollo;ACTIVE
210;Gavrielle;Plato Principal;;Pulpo,Cerdo,Jamon;ACTIVE
211;Korry;Sopa;;Cebolla,Ostras,Jamon;ACTIVE
212;Olia;Sopa;;Ostras,Cabano,Papas;ACTIVE
213;Aubrey;Bandeja;;Chicharron,Papas a la Francesa,Papas;ACTIVE
214;Hedwiga;Plato Secundario;;Maduro,Jamon,Batavia;ACTIVE
215;Chlo;Postre;;Papas,Pollo,Batavia;ACTIVE
216;Bentley;Plato Principal;;Pulpo,Cerdo,Jamon;ACTIVE
217;North;Bebida;;Maduro,Chuleta,Lomo de Cerdo Ahumado;ACTIVE
218;Herschel;Caldo;;Cabano,Verduras,Costilla;ACTIVE
219;Mommy;Postre;;Chuleta,Chorizo,Pulpo;ACTIVE
220;Mareah;Caldo;;Batavia,Chuleta,Chuleta;ACTIVE
221;Ambrosi;Plato Principal;;Cabano,Verduras,Chuleta;ACTIVE
222;Wilfred;Caldo;;Lomo de Cerdo Ahumado,Lomo de Cerdo Ahumado,Chicharron;ACTIVE
223;Trude;Plato Secundario;;Cerdo,Jamon,Batavia;ACTIVE
224;Lenore;Bandeja;;Cebolla,Cabano,Cabano;ACTIVE
225;Nicky;Plato Secundario;;Costilla de cerdo,Lomo Biche,Lomo Biche;ACTIVE
226;Bella;Bandeja;;Camaron,Ostras,Verduras;ACTIVE
227;Bertina;Bandeja;;Camaron,Pollo,Lomo de Cerdo Ahumado;ACTIVE
228;Inness;Plato Secundario;;Camaron,Lomo Biche,Batavia;ACTIVE
229;Gael;Caldo;;Ostras,Chicharron,Maduro;ACTIVE
230;Kerrill;Postre;;Ostras,Batavia,Lomo de Cerdo Ahumado;ACTIVE
231;Nick;Postre;;Papas a la Francesa,Cerdo,Costilla;ACTIVE
232;April;Sopa;;Jamon,Maduro,Chicharron;ACTIVE
233;Herold;Caldo;;Papas a la Francesa,Camaron,Jamon;ACTIVE
234;Holden;Postre;;Cabano,Costilla,Papas;ACTIVE
235;Studebaker;Bandeja;;Pollo,Lomo Biche,Cabano;ACTIVE
236;Gregoor;Postre;;Chicharron,Cerdo,Costilla;ACTIVE
237;Nowell;Bandeja;;Lomo de Cerdo Ahumado,Chuleta,Chicharron;ACTIVE
238;Eagle;Postre;;Batavia,Maduro,Verduras;ACTIVE
239;Myron;Plato Secundario;;Costilla,Verduras,Pulpo;ACTIVE
240;Gunar;Caldo;;Pollo,Ostras,Chicharron;ACTIVE
241;Hallsy;Plato Secundario;;Batavia,Chuleta,Papas a la Francesa;ACTIVE
242;Una;Sopa;;Maduro,Verduras,Lomo Biche;ACTIVE
243;Alphard;Postre;;Cabano,Jamon,Jamon;ACTIVE
244;Fin;Sopa;;Cebolla,Ostras,Lomo de Cerdo Ahumado;ACTIVE
245;Padraic;Bandeja;;Batavia,Cerdo,Lomo de Cerdo Ahumado;ACTIVE
246;Riki;Bebida;;Verduras,Verduras,Cabano;ACTIVE
247;Kakalina;Plato Principal;;Pulpo,Papas a la Francesa,Chuleta;ACTIVE
248;Bette-ann;Bebida;;Jamon,Pollo,Maduro;ACTIVE
249;Atalanta;Bandeja;;Cebolla,Camaron,Lomo Biche;ACTIVE
250;Genny;Caldo;;Maduro,Cabano,Chorizo;ACTIVE
251;Catlaina;Plato Principal;;Pulpo,Lomo de Cerdo Ahumado,Camaron;ACTIVE
252;Junina;Sopa;;Cebolla,Costilla de cerdo,Cerdo;ACTIVE
253;Adena;Plato Principal;;Jamon,Camaron,Ostras;ACTIVE
254;Mariann;Caldo;;Costilla,Maduro,Maduro;ACTIVE
255;Lauren;Bandeja;;Costilla,Chuleta,Costilla de cerdo;ACTIVE
256;Rolls-Royce;Plato Secundario;;Cabano,Costilla,Jamon;ACTIVE
257;Umberto;Plato Principal;;Lomo Biche,Pollo,Camaron;ACTIVE
258;Nanice;Bandeja;;Maduro,Camaron,Lomo Biche;ACTIVE
259;Alexandrina;Postre;;Chorizo,Batavia,Costilla de cerdo;ACTIVE
260;Armand;Sopa;;Costilla,Costilla de cerdo,Costilla de cerdo;ACTIVE
261;Teena;Postre;;Chorizo,Jamon,Verduras;ACTIVE
262;Alidia;Plato Principal;;Camaron,Ostras,Chicharron;ACTIVE
263;Burtie;Sopa;;Chicharron,Batavia,Verduras;ACTIVE
264;Reba;Plato Principal;;Pulpo,Camaron,Maduro;ACTIVE
265;Robinette;Postre;;Papas,Cabano,Ostras;ACTIVE
266;Beniamino;Postre;;Lomo de Cerdo Ahumado,Chicharron,Camaron;ACTIVE
267;Isidora;Plato Principal;;Maduro,Papas,Lomo de Cerdo Ahumado;ACTIVE
268;Yard;Plato Secundario;;Cabano,Ostras,Ostras;ACTIVE
269;Gabe;Bandeja;;Costilla de cerdo,Pulpo,Chicharron;ACTIVE
270;Harald;Plato Secundario;;Cebolla,Pulpo,Papas a la Francesa;ACTIVE
271;Daewoo;Sopa;;Pulpo,Costilla de cerdo,Chicharron;ACTIVE
272;Rodrique;Postre;;Ostras,Maduro,Lomo de Cerdo Ahumado;ACTIVE
273;Saw;Plato Principal;;Chuleta,Lomo Biche,Papas;ACTIVE
274;Dunstan;Caldo;;Pollo,Pulpo,Jamon;ACTIVE
275;Peder;Postre;;Cabano,Papas a la Francesa,Pulpo;ACTIVE
276;Sibel;Caldo;;Jamon,Ostras,Pulpo;ACTIVE
277;Corrine;Postre;;Pollo,Verduras,Lomo Biche;ACTIVE
278;Ortensia;Bebida;;Verduras,Cebolla,Lomo de Cerdo Ahumado;ACTIVE
279;Sayre;Postre;;Lomo de Cerdo Ahumado,Papas a la Francesa,Chuleta;ACTIVE
280;Caryl;Plato Principal;;Jamon,Verduras,Costilla;ACTIVE
281;Selig;Sopa;;Ostras,Chorizo,Verduras;ACTIVE
282;Aurel;Bandeja;;Camaron,Lomo de Cerdo Ahumado,Batavia;ACTIVE
283;Ranee;Plato Principal;;Costilla,Chicharron,Chicharron;ACTIVE
284;Annabelle;Bebida;;Ostras,Jamon,Chuleta;ACTIVE
285;Jeanie;Postre;;Ostras,Jamon,Maduro;ACTIVE
286;Rosabelle;Caldo;;Maduro,Cabano,Cebolla;ACTIVE
287;Gillie;Plato Principal;;Jamon,Chuleta,Verduras;ACTIVE
288;Geo;Caldo;;Costilla de cerdo,Cabano,Camaron;ACTIVE
289;Cristina;Bebida;;Costilla de cerdo,Papas,Costilla de cerdo;ACTIVE
290;Lizbeth;Caldo;;Batavia,Verduras,Jamon;ACTIVE
291;Diahann;Caldo;;Lomo Biche,Chorizo,Maduro;ACTIVE
292;Alric;Postre;;Cabano,Batavia,Costilla;ACTIVE
293;Refrigerio;Plato Secundario;;Chicharron,Chicharron,Chicharron;ACTIVE
294;Calv;Sopa;;Papas a la Francesa,Cerdo,Pollo;ACTIVE
295;Jesselyn;Caldo;;Verduras,Jamon,Cerdo;ACTIVE
296;Regen;Plato Principal;;Papas a la Francesa,Verduras,Batavia;ACTIVE
297;Yardley;Sopa;;Cebolla,Jamon,Jamon;ACTIVE
298;Chip;Postre;;Papas,Chuleta,Verduras;ACTIVE
299;Selene;Plato Secundario;;Batavia,Pollo,Chorizo;ACTIVE
300;Kiley;Sopa;;Cerdo,Maduro,Ostras;ACTIVE
301;Ethelda;Postre;;Camaron,Chuleta,Batavia;ACTIVE
302;Boigie;Plato Secundario;;Papas,Camaron,Cerdo;ACTIVE
303;Zara;Bandeja;;Pollo,Camaron,Chuleta;ACTIVE
304;Stanly;Caldo;;Camaron,Chuleta,Cebolla;ACTIVE
305;Seline;Sopa;;Cebolla,Jamon,Maduro;ACTIVE
306;Lonnard;Sopa;;Chicharron,Chicharron,Chicharron;ACTIVE
307;Farica;Caldo;;Chicharron,Chorizo,Chuleta;ACTIVE
308;Irma;Caldo;;Papas a la Francesa,Ostras,Ostras;ACTIVE
309;Avie;Plato Secundario;;Pulpo,Ostras,Costilla;ACTIVE
310;Brady;Postre;;Lomo de Cerdo Ahumado,Lomo Biche,Batavia;ACTIVE
311;Hildy;Sopa;;Costilla,Maduro,Chuleta;ACTIVE
312;Bobbie;Bebida;;Chuleta,Ostras,Cebolla;ACTIVE
313;Jilli;Plato Secundario;;Chorizo,Chorizo,Costilla de cerdo;ACTIVE
314;Gloria;Caldo;;Costilla,Cebolla,Verduras;ACTIVE
315;Erminia;Bebida;;Maduro,Ostras,Chuleta;ACTIVE
316;Shayne;Plato Secundario;;Costilla,Jamon,Chuleta;ACTIVE
317;Witty;Postre;;Cebolla,Jamon,Costilla;ACTIVE
318;Anatol;Caldo;;Papas a la Francesa,Chicharron,Cabano;ACTIVE
319;Josh;Plato Principal;;Pulpo,Chicharron,Jamon;ACTIVE
320;Talbert;Bebida;;Cabano,Chuleta,Jamon;ACTIVE
321;Konrad;Caldo;;Ostras,Cabano,Batavia;ACTIVE
322;Weston;Postre;;Camaron,Verduras,Batavia;ACTIVE
323;Hildagard;Bandeja;;Papas,Cabano,Camaron;ACTIVE
324;Appolonia;Sopa;;Chicharron,Maduro,Batavia;ACTIVE
325;Padriac;Plato Principal;;Chuleta,Pulpo,Chorizo;ACTIVE
326;Kim;Sopa;;Ostras,Pollo,Batavia;ACTIVE
327;Hester;Postre;;Costilla,Costilla,Cebolla;ACTIVE
328;Lucretia;Plato Secundario;;Papas,Cebolla,Chorizo;ACTIVE
329;Jessica;Bebida;;Maduro,Verduras,Jamon;ACTIVE
330;Lorri;Sopa;;Chorizo,Camaron,Chuleta;ACTIVE
331;Rickey;Bandeja;;Cerdo,Maduro,Costilla;ACTIVE
332;Aluino;Plato Secundario;;Costilla,Cebolla,Chorizo;ACTIVE
333;Dilly;Bandeja;;Chorizo,Papas a la Francesa,Chorizo;ACTIVE
334;Sidonia;Bebida;;Costilla de cerdo,Verduras,Pulpo;ACTIVE
335;Trev;Postre;;Pollo,Papas a la Francesa,Costilla de cerdo;ACTIVE
336;Braden;Bandeja;;Cerdo,Chicharron,Verduras;ACTIVE
337;Oliviero;Bebida;;Chicharron,Pulpo,Maduro;ACTIVE
338;Elle;Sopa;;Chorizo,Pollo,Chuleta;ACTIVE
339;Tomkin;Bebida;;Pollo,Costilla,Cabano;ACTIVE
340;Skyler;Bandeja;;Cerdo,Cerdo,Jamon;ACTIVE
341;Tiff;Postre;;Camaron,Lomo de Cerdo Ahumado,Papas a la Francesa;ACTIVE
342;Gifford;Sopa;;Chicharron,Batavia,Chicharron;ACTIVE
343;Raddy;Sopa;;Papas a la Francesa,Lomo Biche,Batavia;ACTIVE
344;Katha;Plato Secundario;;Costilla de cerdo,Costilla de cerdo,Chuleta;ACTIVE
345;Genevieve;Bebida;;Chorizo,Ostras,Cerdo;ACTIVE
346;Kingsly;Plato Principal;;Cebolla,Jamon,Papas a la Francesa;ACTIVE
347;Karry;Bandeja;;Papas a la Francesa,Cebolla,Cerdo;ACTIVE
348;Osbert;Plato Principal;;Jamon,Ostras,Lomo Biche;ACTIVE
349;Nanete;Plato Secundario;;Chicharron,Jamon,Lomo Biche;ACTIVE
350;Durward;Plato Principal;;Ostras,Chuleta,Ostras;ACTIVE
351;Isador;Plato Principal;;Chicharron,Papas,Camaron;ACTIVE
