CASA DORADA PRODUCTS REPORT
Code; Name;Product type;Product size;Ingredients;State;Price
89;Mercury;Bandeja;Caja personal;Ostras,Costilla de cerdo,Chorizo;ACTIVE;61812.0
90;Gabe;Bandeja;Caja para dos;Costilla de cerdo,Pulpo,Chicharron;ACTIVE;85021.0
91;Lexus;Adicionales;Caja para dos;Camaron,Chuleta,Chicharron;ACTIVE;137335.0
92;Jeep;Bebida;Caja personal;Verduras,Cebolla,Camaron;ACTIVE;18850.0
93;Daewoo;Adicionales;Personal;Papas a la francesa,Cebolla,Papas;ACTIVE;132718.0
94;Arroz Valluno;Adicionales;Caja personal;Pollo,Ostras,Cabano;ACTIVE;121807.0
95;Diahann;Caldo;Caja para dos;Lomo biche,Chorizo,Maduro;ACTIVE;84900.0
96;Hazlett;Sopa;Personal;Cabano,Lomo de cerdo ahumado,Ostras;ACTIVE;142384.0
97;Lev;Postre;Personal;Pulpo,Pollo,Chuleta;ACTIVE;40132.0
98;Pontiac;Postre;Personal;Pollo,Lomo biche,Papas a la francesa;ACTIVE;24186.0
99;Audi;Bebida;Familiar;Ostras,Costilla de cerdo,Papas;ACTIVE;103176.0
100;Oldsmobile;Postre;Caja personal;Batavia,Pulpo,Costilla de cerdo;ACTIVE;94109.0
101;Hummer;Caldo;Familiar;Maduro,Pollo,Jamon;ACTIVE;33920.0
102;Marty;Adicionales;Familiar;Chorizo,Papas a la francesa,Chuleta;ACTIVE;68164.0
103;Saturn;Bandeja;Combo para dos;Maduro,Batavia,Papas;ACTIVE;28242.0
104;Candida;Plato principal;Caja para dos;Chuleta,Maduro,Papas;ACTIVE;87009.0
105;Mitsubishi;Caldo;Caja para dos;Chuleta,Cerdo,Maduro;ACTIVE;66719.0
106;Audi;Bebida;Caja personal;Ostras,Costilla de cerdo,Papas;ACTIVE;101962.0
107;Cadillac;Caldo;Personal;Camaron,Lomo biche,Papas a la francesa;ACTIVE;78790.0
108;Sterling;Adicionales;Caja personal;Costilla,Chuleta,Cebolla;ACTIVE;37982.0
109;Phylis;Plato principal;Familiar;Camaron,Lomo biche,Pollo;ACTIVE;76839.0
110;Dodge;Sopa;Combo para dos;Cebolla,Batavia,Costilla de cerdo;ACTIVE;37794.0
111;Volkswagen;Plato secundario;Combo para dos;Papas,Lomo biche,Maduro;ACTIVE;49341.0
112;Donna;Adicionales;Familiar;Batavia,Camaron,Camaron;ACTIVE;127299.0
113;Pontiac;Postre;Caja para dos;Pollo,Lomo biche,Papas a la francesa;ACTIVE;134897.0
114;Saab;Plato secundario;Familiar;Chuleta,Chuleta,Papas a la francesa;ACTIVE;27581.0
115;Mitsubishi;Caldo;Familiar;Chuleta,Cerdo,Maduro;ACTIVE;123657.0
116;Land Rover;Sopa;Combo para dos;Lomo de cerdo ahumado,Chorizo,Camaron;ACTIVE;134556.0
117;Junina;Sopa;Personal;Cebolla,Costilla de cerdo,Cerdo;ACTIVE;6955.0
118;Suzuki;Bebida;Caja personal;Chuleta,Lomo biche,Cebolla;ACTIVE;71828.0
119;Teena;Postre;Caja para dos;Chorizo,Jamon,Verduras;ACTIVE;111569.0
120;Wilmette;Adicionales;Personal;Chicharron,Cabano,Chicharron;ACTIVE;81893.0
121;Claudelle;Sopa;Caja personal;Cabano,Papas,Batavia;ACTIVE;148050.0
122;Jesselyn;Caldo;Familiar;Verduras,Jamon,Cerdo;ACTIVE;91469.0
123;Porsche;Bandeja;Caja personal;Costilla de cerdo,Costilla de cerdo,Cebolla;ACTIVE;70786.0
124;Elisabet;Plato principal;Caja personal;Maduro,Cerdo,Cebolla;ACTIVE;142414.0
125;Bentley;Plato principal;Familiar;Pulpo,Cerdo,Jamon;ACTIVE;3149.0
126;Kia;Adicionales;Personal;Papas,Verduras,Chicharron;ACTIVE;40884.0
127;Chrysler;Caldo;Caja para dos;Ostras,Papas a la francesa,Chicharron;ACTIVE;63102.0
128;Saxe;Bandeja;Caja para dos;Camaron,Costilla,Papas a la francesa;ACTIVE;125066.0
129;BMW;Bandeja;Combo para dos;Lomo de cerdo ahumado,Cebolla,Cebolla;ACTIVE;94869.0
130;Herve;Bandeja;Personal;Cebolla,Pulpo,Chorizo;ACTIVE;143470.0
131;Edita;Sopa;Caja para dos;Cerdo,Cebolla,Costilla;ACTIVE;48732.0
132;Chop Suey;Plato principal;Caja personal;Maduro,Costilla,Lomo biche;ACTIVE;63570.0
133;Suzuki;Bebida;Combo para dos;Chuleta,Lomo biche,Cebolla;ACTIVE;111402.0
134;Saab;Plato secundario;Caja para dos;Chuleta,Chuleta,Papas a la francesa;ACTIVE;42629.0
135;Toyota;Postre;Familiar;Pulpo,Camaron,Pollo;ACTIVE;4476.0
136;GMC;Postre;Personal;Verduras,Chicharron,Verduras;ACTIVE;111842.0
137;Bertina;Bandeja;Combo para dos;Camaron,Pollo,Lomo de cerdo ahumado;ACTIVE;42207.0
138;Chas;Postre;Personal;Costilla de cerdo,Pollo,Papas;ACTIVE;146917.0
139;Mitsubishi;Caldo;Personal;Chuleta,Cerdo,Maduro;ACTIVE;63378.0
140;Rosabelle;Caldo;Combo para dos;Maduro,Cabano,Cebolla;ACTIVE;68007.0
141;Acura;Bandeja;Combo para dos;Costilla de cerdo,Chuleta,Maduro;ACTIVE;59922.0
142;GMC;Postre;Caja personal;Verduras,Chicharron,Verduras;ACTIVE;35495.0
143;Porsche;Bandeja;Familiar;Costilla de cerdo,Costilla de cerdo,Cebolla;ACTIVE;49384.0
144;Toyota;Postre;Caja personal;Pulpo,Camaron,Pollo;ACTIVE;143545.0
145;Quill;Plato secundario;Caja personal;Costilla,Lomo de cerdo ahumado,Chicharron;ACTIVE;34345.0
146;Lexus;Adicionales;Combo para dos;Camaron,Chuleta,Chicharron;ACTIVE;22908.0
147;Desayuno;Caldo;Personal;Pulpo,Papas,Ostras;ACTIVE;46458.0
148;Dodge;Sopa;Caja para dos;Cebolla,Batavia,Costilla de cerdo;ACTIVE;126423.0
149;Cristobal;Plato secundario;Familiar;Camaron,Verduras,Cerdo;ACTIVE;17855.0
150;Phebe;Adicionales;Combo para dos;Chorizo,Chuleta,Pollo;ACTIVE;145340.0
151;Kaila;Bebida;Combo para dos;Lomo biche,Lomo biche,Cebolla;ACTIVE;133385.0
152;Suzuki;Bebida;Personal;Chuleta,Lomo biche,Cebolla;ACTIVE;88761.0
153;Leticia;Caldo;Personal;Pollo,Costilla,Maduro;ACTIVE;48861.0
154;Toyota;Postre;Combo para dos;Pulpo,Camaron,Pollo;ACTIVE;72833.0
155;Kiley;Sopa;Familiar;Cerdo,Maduro,Ostras;ACTIVE;97668.0
156;Fletch;Caldo;Familiar;Camaron,Camaron,Chorizo;ACTIVE;121204.0
157;Haroun;Caldo;Personal;Camaron,Costilla,Chuleta;ACTIVE;37046.0
158;Randa;Bebida;Caja personal;Cabano,Lomo de cerdo ahumado,Papas a la francesa;ACTIVE;141094.0
159;Bentley;Plato principal;Combo para dos;Pulpo,Cerdo,Jamon;ACTIVE;139612.0
160;Subaru;Adicionales;Personal;Costilla,Costilla de cerdo,Chorizo;ACTIVE;75013.0
161;Jaguar;Plato principal;Caja para dos;Camaron,Papas a la francesa,Costilla de cerdo;ACTIVE;96781.0
162;Caryl;Plato principal;Combo para dos;Jamon,Verduras,Costilla;ACTIVE;33446.0
163;Ram;Bandeja;Personal;Papas a la francesa,Batavia,Verduras;ACTIVE;98959.0
164;Hanson;Plato secundario;Personal;Costilla de cerdo,Verduras,Verduras;ACTIVE;136178.0
165;Mazda;Bebida;Personal;Pulpo,Batavia,Costilla;ACTIVE;51656.0
166;Volvo;Bandeja;Familiar;Chicharron,Chorizo,Batavia;ACTIVE;5496.0
167;Massimo;Adicionales;Personal;Costilla de cerdo,Costilla de cerdo,Jamon;ACTIVE;50698.0
168;Volkswagen;Plato secundario;Personal;Papas,Lomo biche,Maduro;ACTIVE;77188.0
169;Plymouth;Bandeja;Familiar;Ostras,Maduro,Costilla;ACTIVE;61511.0
170;Hyundai;Sopa;Personal;Chuleta,Costilla,Camaron;ACTIVE;50500.0
171;Dorice;Plato principal;Caja para dos;Pollo,Chorizo,Costilla;ACTIVE;40132.0
172;Lev;Postre;Familiar;Pulpo,Pollo,Chuleta;ACTIVE;30018.0
173;Northrop;Caldo;Combo para dos;Chicharron,Cabano,Lomo de cerdo ahumado;ACTIVE;144895.0
174;Mercedes-Benz;Sopa;Caja personal;Costilla de cerdo,Cabano,Camaron;ACTIVE;143803.0
175;Taryn;Adicionales;Familiar;Ostras,Chorizo,Cebolla;ACTIVE;77588.0
176;Donica;Postre;Caja para dos;Camaron,Costilla,Cabano;ACTIVE;5727.0
177;Audi;Bebida;Combo para dos;Ostras,Costilla de cerdo,Papas;ACTIVE;143146.0
178;Chloe;Plato principal;Combo para dos;Pollo,Papas,Batavia;ACTIVE;62986.0
179;Buick;Plato secundario;Caja personal;Chicharron,Jamon,Ostras;ACTIVE;86075.0
180;Porsche;Bandeja;Caja para dos;Costilla de cerdo,Costilla de cerdo,Cebolla;ACTIVE;131101.0
181;Saab;Plato secundario;Combo para dos;Chuleta,Chuleta,Papas a la francesa;ACTIVE;13690.0
182;Nata;Adicionales;Combo para dos;Batavia,Chuleta,Chuleta;ACTIVE;95737.0
183;Sabina;Sopa;Combo para dos;Pulpo,Pulpo,Maduro;ACTIVE;61867.0
184;BMW;Bandeja;Caja para dos;Lomo de cerdo ahumado,Cebolla,Cebolla;ACTIVE;40159.0
185;Lexus;Adicionales;Personal;Camaron,Chuleta,Chicharron;ACTIVE;75262.0
186;Saturn;Bandeja;Caja personal;Maduro,Batavia,Papas;ACTIVE;2649.0
187;Ford;Sopa;Personal;Batavia,Costilla,Lomo de cerdo ahumado;ACTIVE;53598.0
188;BMW;Bandeja;Personal;Lomo de cerdo ahumado,Cebolla,Cebolla;ACTIVE;116234.0
189;Boigie;Adicionales;Familiar;Pulpo,Lomo de cerdo ahumado,Chorizo;ACTIVE;15664.0
190;Lamborghini;Adicionales;Personal;Verduras,Pollo,Papas a la francesa;ACTIVE;73893.0
191;Thomas;Postre;Caja para dos;Cebolla,Chorizo,Cebolla;ACTIVE;123505.0
192;Hester;Postre;Caja personal;Costilla,Costilla,Cebolla;ACTIVE;126775.0
193;Boigie;Adicionales;Personal;Pulpo,Lomo de cerdo ahumado,Chorizo;ACTIVE;61470.0
194;Maserati;Plato principal;Personal;Costilla,Lomo biche,Cabano;ACTIVE;65994.0
195;Mariann;Caldo;Combo para dos;Costilla,Maduro,Maduro;ACTIVE;46615.0
196;Kimble;Postre;Combo para dos;Costilla,Papas,Ostras;ACTIVE;37702.0
197;Garrett;Plato secundario;Caja para dos;Chuleta,Camaron,Lomo de cerdo ahumado;ACTIVE;132655.0
198;Paolo;Adicionales;Caja personal;Papas a la francesa,Cerdo,Pollo;ACTIVE;23183.0
199;Lincoln;Adicionales;Personal;Papas a la francesa,Cabano,Maduro;ACTIVE;28898.0
200;Sterling;Adicionales;Combo para dos;Costilla,Chuleta,Cebolla;ACTIVE;59916.0
201;Saturn;Bandeja;Familiar;Maduro,Batavia,Papas;ACTIVE;131230.0
202;Ortensia;Bebida;Caja personal;Verduras,Cebolla,Lomo de cerdo ahumado;ACTIVE;6703.0
203;Kia;Adicionales;Familiar;Papas,Verduras,Chicharron;ACTIVE;12271.0
204;Dodge;Sopa;Familiar;Cebolla,Batavia,Costilla de cerdo;ACTIVE;95984.0
205;Tiebold;Sopa;Personal;Papas,Cabano,Lomo de cerdo ahumado;ACTIVE;136629.0
206;Honda;Sopa;Caja para dos;Batavia,Chuleta,Pollo;ACTIVE;118791.0
207;GMC;Postre;Combo para dos;Verduras,Chicharron,Verduras;ACTIVE;112325.0
208;Ara;Bandeja;Caja personal;Verduras,Cerdo,Lomo biche;ACTIVE;69092.0
209;Caro;Postre;Combo para dos;Cebolla,Cabano,Chuleta;ACTIVE;108503.0
210;Lincoln;Adicionales;Caja para dos;Papas a la francesa,Cabano,Maduro;ACTIVE;133949.0
211;Kakalina;Plato principal;Combo para dos;Pulpo,Papas a la francesa,Chuleta;ACTIVE;39479.0
212;Cadillac;Caldo;Caja personal;Camaron,Lomo biche,Papas a la francesa;ACTIVE;97267.0
213;Carlin;Postre;Familiar;Cebolla,Cabano,Papas a la francesa;ACTIVE;140231.0
214;Cadillac;Caldo;Familiar;Camaron,Lomo biche,Papas a la francesa;ACTIVE;72144.0
215;Hester;Postre;Caja para dos;Costilla,Costilla,Cebolla;ACTIVE;8634.0
216;Jaguar;Plato principal;Familiar;Camaron,Papas a la francesa,Costilla de cerdo;ACTIVE;60107.0
217;Alfa Romeo;Sopa;Caja para dos;Verduras,Pollo,Costilla;ACTIVE;141074.0
218;Ricard;Adicionales;Familiar;Costilla de cerdo,Cebolla,Costilla de cerdo;ACTIVE;19818.0
219;Maible;Bandeja;Personal;Cabano,Chuleta,Chorizo;ACTIVE;146786.0
220;Hyundai;Sopa;Familiar;Chuleta,Costilla,Camaron;ACTIVE;21517.0
221;Infiniti;Adicionales;Caja personal;Chicharron,Cebolla,Verduras;ACTIVE;56577.0
222;Carlita;Bandeja;Combo para dos;Lomo biche,Costilla,Costilla de cerdo;ACTIVE;82000.0
223;Kia;Adicionales;Combo para dos;Papas,Verduras,Chicharron;ACTIVE;95472.0
224;Porsche;Bandeja;Personal;Costilla de cerdo,Costilla de cerdo,Cebolla;ACTIVE;146044.0
225;Mareah;Caldo;Familiar;Batavia,Chuleta,Chuleta;ACTIVE;45545.0
226;Candida;Plato principal;Combo para dos;Chuleta,Maduro,Papas;ACTIVE;96380.0
227;Buick;Plato secundario;Personal;Chicharron,Jamon,Ostras;ACTIVE;63643.0
228;Lorne;Caldo;Caja para dos;Jamon,Costilla,Camaron;ACTIVE;67404.0
229;Buick;Plato secundario;Familiar;Chicharron,Jamon,Ostras;ACTIVE;44016.0
230;Volvo;Bandeja;Caja personal;Chicharron,Chorizo,Batavia;ACTIVE;106514.0
231;Chlo;Postre;Familiar;Papas,Pollo,Batavia;ACTIVE;24883.0
232;Ferrari;Bandeja;Caja para dos;Maduro,Lomo de cerdo ahumado,Pollo;ACTIVE;50414.0
233;Shanan;Plato secundario;Personal;Pulpo,Cerdo,Cabano;ACTIVE;7043.0
234;Nissan;Caldo;Caja personal;Costilla de cerdo,Batavia,Chicharron;ACTIVE;92541.0
235;Sterling;Adicionales;Caja para dos;Costilla,Chuleta,Cebolla;ACTIVE;110673.0
236;Hazlett;Sopa;Caja para dos;Cabano,Lomo de cerdo ahumado,Ostras;ACTIVE;149652.0
237;Una;Sopa;Personal;Maduro,Verduras,Lomo biche;ACTIVE;37329.0
238;Jerri;Plato secundario;Combo para dos;Chuleta,Cebolla,Costilla;ACTIVE;127284.0
239;Murry;Sopa;Combo para dos;Cabano,Papas a la francesa,Batavia;ACTIVE;119125.0
240;Mord;Adicionales;Familiar;Pollo,Costilla,Maduro;ACTIVE;44008.0
241;Gunar;Caldo;Combo para dos;Pollo,Ostras,Chicharron;ACTIVE;129856.0
242;Terrell;Bebida;Caja para dos;Verduras,Pulpo,Chuleta;ACTIVE;14094.0
243;Acura;Bandeja;Caja personal;Costilla de cerdo,Chuleta,Maduro;ACTIVE;44718.0
244;Demeter;Plato principal;Personal;Chorizo,Lomo de cerdo ahumado,Pulpo;ACTIVE;132213.0
245;Kerrill;Postre;Combo para dos;Ostras,Batavia,Lomo de cerdo ahumado;ACTIVE;71020.0
246;Mazda;Bebida;Familiar;Pulpo,Batavia,Costilla;ACTIVE;46736.0
247;Aston Martin;Bandeja;Caja personal;Cabano,Cerdo,Camaron;ACTIVE;132318.0
248;Jeep;Bebida;Personal;Verduras,Cebolla,Camaron;ACTIVE;101899.0
249;Buick;Plato secundario;Caja para dos;Chicharron,Jamon,Ostras;ACTIVE;93964.0
250;Helsa;Plato secundario;Caja para dos;Costilla,Cebolla,Cerdo;ACTIVE;138757.0
251;Gabe;Bandeja;Caja personal;Costilla de cerdo,Pulpo,Chicharron;ACTIVE;19153.0
252;Studebaker;Bandeja;Caja personal;Pollo,Lomo biche,Cabano;ACTIVE;9012.0
253;Mariann;Caldo;Caja para dos;Costilla,Maduro,Maduro;ACTIVE;80466.0
254;Saw;Plato principal;Personal;Chuleta,Lomo biche,Papas;ACTIVE;52982.0
255;Chrysler;Caldo;Familiar;Ostras,Papas a la francesa,Chicharron;ACTIVE;70761.0
256;Adel;Plato principal;Familiar;Batavia,Papas a la francesa,Costilla de cerdo;ACTIVE;140408.0
257;Bianka;Plato secundario;Combo para dos;Jamon,Camaron,Camaron;ACTIVE;79385.0
258;April;Sopa;Personal;Jamon,Maduro,Chicharron;ACTIVE;87649.0
259;Tomas;Bandeja;Familiar;Cabano,Papas a la francesa,Cabano;ACTIVE;112009.0
260;Petr;Sopa;Familiar;Lomo biche,Chorizo,Pulpo;ACTIVE;21828.0
261;Plymouth;Bandeja;Caja para dos;Ostras,Maduro,Costilla;ACTIVE;103771.0
262;Filmer;Plato principal;Familiar;Costilla de cerdo,Jamon,Maduro;ACTIVE;11171.0
263;Mommy;Postre;Caja personal;Chuleta,Chorizo,Pulpo;ACTIVE;143876.0
264;Lizzie;Sopa;Personal;Chicharron,Chorizo,Cabano;ACTIVE;80670.0
265;Audi;Bebida;Caja para dos;Ostras,Costilla de cerdo,Papas;ACTIVE;54651.0
266;Gunar;Caldo;Personal;Pollo,Ostras,Chicharron;ACTIVE;143707.0
267;Honda;Sopa;Caja personal;Batavia,Chuleta,Pollo;ACTIVE;61422.0
268;Mortie;Bebida;Caja personal;Papas a la francesa,Cerdo,Maduro;ACTIVE;70710.0
269;Archibaldo;Plato principal;Personal;Jamon,Ostras,Lomo de cerdo ahumado;ACTIVE;79236.0
270;Harcourt;Caldo;Personal;Jamon,Camaron,Maduro;ACTIVE;32994.0
271;Phylis;Plato principal;Caja personal;Camaron,Lomo biche,Pollo;ACTIVE;49522.0
272;Harmonia;Plato principal;Combo para dos;Costilla de cerdo,Chorizo,Pulpo;ACTIVE;4020.0
273;Lotus;Plato principal;Caja personal;Cabano,Pulpo,Cabano;ACTIVE;42974.0
274;Elisabet;Plato principal;Caja para dos;Maduro,Cerdo,Cebolla;ACTIVE;118177.0
275;Noak;Plato secundario;Familiar;Cabano,Papas a la francesa,Lomo de cerdo ahumado;ACTIVE;1352.0
276;Gayel;Plato principal;Caja para dos;Cabano,Cerdo,Chicharron;ACTIVE;108151.0
277;Dilly;Bandeja;Familiar;Chorizo,Papas a la francesa,Chorizo;ACTIVE;54052.0
278;Dyanne;Plato principal;Caja personal;Papas,Jamon,Chicharron;ACTIVE;85614.0
279;Peder;Postre;Caja para dos;Cabano,Papas a la francesa,Pulpo;ACTIVE;87695.0
280;Eagle;Postre;Personal;Batavia,Maduro,Verduras;ACTIVE;30131.0
281;Noak;Plato secundario;Caja para dos;Cabano,Papas a la francesa,Lomo de cerdo ahumado;ACTIVE;144588.0
282;Buick;Plato secundario;Combo para dos;Chicharron,Jamon,Ostras;ACTIVE;114226.0
